,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Neighborhood_rich,YrSoldBuket,YearBuiltBuket,GarageYrBltBuket,hasPool,has3SsnPorch,hasEnclosedPorch,hasGarage,isMasVnrAreaZero,hasOpenPorchSF,hasWoodDeckSF,isBsmtUnfSFZero,is2ndFlrSFZero,hasBsmtFinSF1,hasTotalBsmtSF,hasGarageArea,isOverallQualPool,SalePrice
252,60,RL,4.18965474203,9.0320506763,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,1,0.0,1,0.0,798.0,798.0,GasA,5,1,SBrkr,6.68336094577,842,0,7.40306109109,0.0,0.0,2,1,3,1,4,6,Typ,0,0,Attchd,2004.0,2,2.0,520.0,3,3,2,4.93447393313,3.82864139649,0,0,0,0,0,0,NA,0,12,2008,WD,Normal,0,4,9,3,0,0,0,1,0,1,1,1,1,0,1,1,0,12.0610526538
253,80,RL,4.45434729625,9.14323856844,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SLvl,6,7,1964,1991,Hip,CompShg,HdBoard,HdBoard,BrkFace,108.0,3,3,CBlock,4,3,4,2,270.0,5,580.0,452.0,1302.0,GasA,5,1,SBrkr,7.17242457712,0,0,7.17242457712,0.0,1.0,2,0,3,1,4,7,Min1,0,0,Attchd,1964.0,2,1.0,309.0,3,3,2,5.81114099298,0.0,0,0,0,0,0,3,NA,0,10,2007,CWD,Normal,0,2,6,2,0,0,0,1,1,0,1,1,0,1,1,1,0,11.9703566411
254,20,RL,4.26267987704,9.03610602536,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1957,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,1,3,922.0,1,0.0,392.0,1314.0,GasA,3,1,SBrkr,7.18159194461,0,0,7.18159194461,1.0,0.0,1,0,3,1,3,5,Typ,0,0,Attchd,1957.0,2,1.0,294.0,3,3,2,5.52545293913,0.0,0,0,0,0,0,0,NA,0,6,2010,WD,Normal,0,9,6,2,0,0,0,1,0,0,1,1,0,1,1,1,0,11.8844959179
255,60,RL,4.20469261939,9.07555104563,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,302.0,4,3,PConc,4,3,1,1,0.0,1,0.0,975.0,975.0,GasA,5,1,SBrkr,6.91373735066,1286,0,7.73718007783,0.0,0.0,2,1,4,1,4,8,Typ,1,3,BuiltIn,1999.0,3,2.0,429.0,3,3,2,5.2626901889,0.0,0,0,0,0,0,0,NA,0,2,2006,WD,Normal,0,0,9,3,0,0,0,1,1,0,1,1,1,0,1,1,0,12.3458389357
256,60,FV,4.1743872699,9.08159749608,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,6,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,3,503.0,1,0.0,361.0,864.0,GasA,5,1,SBrkr,6.76272950693,864,0,7.45529848568,0.0,0.0,2,1,3,1,4,7,Typ,0,0,Attchd,2003.0,2,2.0,673.0,3,3,2,5.37989735354,4.04305126783,0,0,0,0,0,0,NA,0,5,2008,WD,Normal,0,4,9,3,0,0,0,1,0,1,1,1,1,1,1,1,0,12.2428914379
257,20,RL,4.2341065046,9.08421009483,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,180.0,4,3,PConc,4,3,1,6,1334.0,1,0.0,270.0,1604.0,GasA,5,1,SBrkr,7.38087903556,0,0,7.38087903556,1.0,0.0,2,1,3,1,4,8,Typ,1,4,Attchd,2006.0,2,2.0,660.0,3,3,2,4.82028156561,4.70953020131,0,0,0,0,0,0,NA,0,3,2009,WD,Abnorml,0,7,9,3,0,0,0,1,1,1,1,1,0,1,1,1,0,12.3013873708
258,60,RL,4.39444915467,9.42835077118,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,172.0,4,3,PConc,4,3,1,6,361.0,1,0.0,602.0,963.0,GasA,5,1,SBrkr,6.87109129461,829,0,7.49164547361,0.0,0.0,2,1,3,1,4,7,Typ,1,3,Attchd,2001.0,2,2.0,564.0,3,3,2,0.0,4.5747109785,0,245,0,0,0,0,NA,0,5,2008,WD,Normal,0,4,9,3,0,1,0,1,1,1,0,1,1,1,1,1,0,12.3523394722
259,20,RM,4.26267987704,9.44959346502,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,5,1956,1956,Gable,CompShg,BrkFace,BrkFace,None,0.0,3,3,PConc,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,4,1,FuseA,6.7833252006,0,0,6.7833252006,0.0,0.0,1,0,2,1,3,4,Typ,0,0,Detchd,1956.0,1,1.0,308.0,3,3,2,0.0,3.82864139649,0,0,0,0,0,0,NA,0,12,2008,WD,Normal,0,4,6,2,0,0,0,1,0,1,0,0,0,0,0,1,0,11.4824765667
260,80,RL,4.7957905456,9.8677049224,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,SLvl,6,5,1962,1962,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,399.0,3,3,CBlock,3,3,4,3,672.0,5,690.0,0.0,1362.0,GasA,3,1,SBrkr,7.23201033166,0,0,7.23201033166,1.0,0.0,1,0,3,1,3,6,Typ,1,3,Attchd,1991.0,1,2.0,884.0,3,3,2,0.0,0.0,252,0,0,0,0,2,NA,0,5,2009,WD,Normal,0,7,6,3,0,0,1,1,1,0,0,0,0,1,1,1,0,12.0782449558
261,60,RL,4.24849524205,9.16837188715,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,5,2007,2007,Gable,CompShg,CemntBd,CmentBd,Stone,270.0,4,3,PConc,5,3,1,1,0.0,1,0.0,1482.0,1482.0,GasA,5,1,SBrkr,7.30182234214,1092,0,7.8536048131,0.0,0.0,2,1,3,1,5,10,Typ,1,4,BuiltIn,2007.0,3,3.0,868.0,3,3,2,0.0,5.00394630595,0,0,0,0,0,0,NA,0,11,2007,New,Partial,0,2,9,4,0,0,0,1,1,1,0,1,1,0,1,1,0,12.5281597679
262,80,RL,4.48863636973,9.04452188728,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,SLvl,6,7,1977,1995,Gable,CompShg,HdBoard,Plywood,BrkFace,46.0,3,3,CBlock,4,4,3,5,506.0,1,0.0,0.0,506.0,GasA,3,1,SBrkr,7.10085190894,0,0,7.10085190894,1.0,0.0,1,0,3,1,3,6,Typ,1,3,Attchd,1978.0,1,2.0,492.0,3,3,2,5.68017260902,2.56494935746,0,0,0,0,0,2,NA,0,7,2006,WD,Normal,0,0,7,3,0,0,0,1,1,1,1,0,0,1,1,1,0,11.9250417383
263,50,RM,3.93182563272,8.61268517288,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,1,2,234.0,5,692.0,0.0,926.0,GasA,3,1,SBrkr,6.83195356557,0,390,7.18311170174,1.0,0.0,1,0,3,1,3,6,Typ,0,0,Detchd,1974.0,1,2.0,484.0,3,3,2,0.0,0.0,0,0,0,0,0,0,NA,0,4,2010,WD,Normal,0,9,4,3,0,0,0,1,0,0,0,0,0,1,1,1,0,11.7752974217
264,30,RM,3.43398720449,8.56274000637,Pave,Grvl,IR3,Bnk,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,5,1925,2004,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,2,3,1,1,0.0,1,0.0,680.0,680.0,GasA,4,0,FuseP,6.63987583383,0,0,6.63987583383,0.0,0.0,1,0,2,1,3,4,Typ,0,0,Detchd,1965.0,1,2.0,504.0,3,3,0,0.0,0.0,0,0,0,0,0,0,NA,0,6,2008,WD,Normal,0,4,3,2,0,0,0,1,0,0,0,1,0,0,1,1,0,11.1982284187
265,20,RL,4.36944785247,9.40021665317,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1981,1981,Gable,CompShg,MetalSd,MetalSd,BrkFace,210.0,3,4,CBlock,4,3,1,6,588.0,2,228.0,606.0,1422.0,GasA,3,1,SBrkr,7.26052259809,0,0,7.26052259809,0.0,0.0,2,0,3,1,4,7,Typ,1,3,Attchd,1981.0,3,2.0,576.0,3,3,2,5.62401750619,0.0,0,0,0,0,0,4,NA,0,6,2008,WD,Normal,0,4,7,3,0,0,0,1,1,0,1,1,0,1,1,1,0,12.0754000199
266,60,RL,4.26267987704,9.32438308802,Pave,NA,IR1,HLS,AllPub,FR2,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,3,6,714.0,1,0.0,88.0,802.0,GasA,4,1,SBrkr,6.68835471395,709,0,7.32118855674,1.0,0.0,2,1,3,1,3,8,Typ,1,3,Attchd,1997.0,3,2.0,413.0,3,3,2,4.56434819147,4.33073334029,0,0,0,0,0,0,NA,0,6,2006,WD,Normal,0,0,9,3,0,0,0,1,0,1,1,1,1,1,1,1,0,12.1281165095
267,75,RL,4.11087386417,9.03610602536,Pave,NA,Reg,Bnk,AllPub,Inside,Mod,SWISU,Norm,Norm,1Fam,2.5Fin,5,8,1939,1997,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,1,2,378.0,1,0.0,342.0,720.0,GasA,5,1,SBrkr,6.95939851213,720,420,7.69302574842,0.0,0.0,2,1,4,1,4,8,Typ,1,4,Detchd,1939.0,1,1.0,240.0,3,3,2,5.57215403218,3.21887582487,0,0,0,0,0,0,NA,0,7,2008,WD,Normal,0,4,4,1,0,0,0,1,0,1,1,1,1,1,1,1,0,12.0979360579
268,30,RM,4.27666611902,8.83942160762,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,5,6,1940,1955,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,1,5,403.0,3,125.0,212.0,740.0,GasA,5,1,SBrkr,6.65801104587,0,0,6.65801104587,0.0,0.0,1,0,2,1,3,4,Typ,1,4,Detchd,1966.0,3,1.0,924.0,5,5,2,0.0,3.25809653802,0,0,0,0,0,0,NA,0,2,2008,WD,Normal,0,4,4,2,0,0,0,1,0,1,0,1,0,1,1,1,0,11.6994133306
269,20,RL,4.18965474203,8.97689392767,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,7,1976,1976,Hip,CompShg,HdBoard,HdBoard,BrkFace,174.0,3,4,CBlock,3,4,1,4,751.0,1,0.0,392.0,1143.0,GasA,3,1,SBrkr,7.01571242049,0,0,7.01571242049,1.0,0.0,1,1,3,1,3,6,Typ,1,2,Attchd,1987.0,2,1.0,504.0,3,4,2,5.91620206261,3.43398720449,0,0,0,0,0,4,NA,0,5,2007,WD,Normal,0,2,7,3,0,0,0,1,1,1,1,1,0,1,1,1,0,11.9049743095
270,60,FV,4.44265125649,9.28070563464,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,2,1,0.0,1,0.0,1095.0,1095.0,GasA,4,1,SBrkr,6.99942246751,844,0,7.57044325206,0.0,0.0,2,1,3,1,4,8,Typ,1,4,Attchd,2006.0,2,3.0,1053.0,3,3,2,5.2626901889,3.95124371858,0,0,0,0,0,0,NA,0,8,2006,New,Partial,0,0,9,3,0,0,0,1,0,1,1,1,1,0,1,1,0,12.4912553472
271,20,RL,4.3040650932,10.574005615,Pave,NA,IR1,Low,AllPub,CulDSac,Sev,ClearCr,Norm,Norm,1Fam,1Story,7,7,1954,2005,Flat,Membran,Plywood,Plywood,None,0.0,3,3,CBlock,4,3,4,2,226.0,6,1063.0,96.0,1385.0,GasA,5,1,SBrkr,7.2181768384,0,0,7.2181768384,1.0,0.0,1,0,2,1,3,5,Mod,2,3,Attchd,1954.0,1,2.0,439.0,3,3,2,4.40671924726,0.0,0,0,0,0,0,0,NA,0,4,2008,WD,Normal,0,4,5,2,0,0,0,1,0,0,1,1,0,1,1,1,0,12.3946288929
272,60,RL,4.53259949315,9.37288430116,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,7,1999,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,348.0,4,3,PConc,4,3,1,6,524.0,1,0.0,628.0,1152.0,GasA,5,1,SBrkr,7.060476366,1106,0,7.72797554211,0.0,0.0,2,1,4,1,4,9,Typ,1,4,Attchd,1999.0,3,3.0,671.0,3,3,2,4.89034912822,4.06044301055,0,0,0,0,0,0,NA,0,4,2010,WD,Normal,1,9,9,3,0,0,0,1,1,1,1,1,1,1,1,1,0,12.5776396502
273,20,RL,4.39444915467,9.1696225387,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,6,6,1958,1988,Hip,CompShg,Wd Sdng,Wd Sdng,BrkCmn,183.0,3,3,CBlock,3,3,1,3,620.0,2,620.0,0.0,1240.0,GasA,4,1,SBrkr,7.39817409297,0,0,7.39817409297,1.0,0.0,2,0,3,1,3,6,Min1,1,4,Attchd,1958.0,2,1.0,338.0,3,3,2,5.66988092298,0.0,0,0,0,0,0,3,NA,0,4,2009,WD,Normal,0,7,6,2,0,0,0,1,1,0,1,0,0,1,1,1,0,11.8422364063
274,20,RL,4.34380542185,9.02581639163,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,7,1982,1982,Gable,CompShg,HdBoard,ImStucc,None,0.0,3,3,CBlock,3,3,4,5,546.0,1,0.0,270.0,816.0,GasA,3,1,SBrkr,6.70563909486,0,0,6.70563909486,0.0,0.0,1,0,2,1,3,5,Typ,0,0,Attchd,1982.0,1,1.0,264.0,3,3,2,5.12989871492,0.0,0,0,0,0,0,0,NA,0,6,2007,WD,Normal,0,2,7,3,0,0,0,1,0,0,1,1,0,1,1,1,0,11.732069027
275,50,RL,4.02535169074,8.890823576,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,7,7,1925,2007,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,4,4,BrkTil,3,3,1,1,0.0,1,0.0,952.0,952.0,GasW,4,0,SBrkr,6.85961490365,596,0,7.34536484042,0.0,0.0,2,1,3,1,5,5,Typ,0,0,Detchd,1978.0,1,2.0,672.0,3,3,2,4.31748811354,0.0,0,0,144,0,0,0,NA,0,10,2009,WD,Normal,0,7,3,3,0,0,0,1,0,0,1,1,1,0,1,1,0,12.2307701362
276,20,RL,4.86753445046,9.1266326229,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5,3,1,1,0.0,1,0.0,1560.0,1560.0,GasA,5,1,SBrkr,7.35308192052,0,0,7.35308192052,0.0,0.0,2,0,3,1,4,7,Typ,0,0,Attchd,2003.0,3,2.0,573.0,3,3,2,4.61512051684,5.01727983681,0,0,0,0,0,0,NA,0,4,2010,WD,Normal,0,9,9,3,0,0,0,1,0,1,1,1,0,0,1,1,0,12.2110651622
277,20,RL,4.94875989038,9.85948341704,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,4,5,1951,1951,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,1,2,120.0,1,0.0,744.0,864.0,GasA,5,1,SBrkr,6.76272950693,0,0,6.76272950693,0.0,0.0,1,0,2,1,3,4,Typ,0,0,Detchd,1951.0,1,2.0,400.0,3,3,2,0.0,0.0,0,0,0,0,0,0,NA,0,6,2010,WD,Normal,0,9,5,2,0,0,0,1,0,0,0,1,0,1,1,1,0,11.8565222615
278,20,RL,4.68213122712,9.5785188953,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2006,2007,Gable,CompShg,CemntBd,CmentBd,BrkFace,315.0,5,3,PConc,5,3,4,1,0.0,1,0.0,2121.0,2121.0,GasA,5,1,SBrkr,7.66011431917,0,0,7.66011431917,0.0,0.0,2,1,3,1,5,8,Typ,1,5,Attchd,2007.0,3,3.0,732.0,3,3,2,4.8283137373,4.59511985013,0,0,142,0,0,0,NA,0,5,2007,New,Partial,1,2,9,4,0,0,0,1,1,1,1,1,0,0,1,1,0,12.9367540217
279,60,RL,4.43081679884,9.21094019205,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,2Story,7,5,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,299.0,3,3,CBlock,4,3,1,4,392.0,1,0.0,768.0,1160.0,GasA,5,1,SBrkr,7.05358572719,866,0,7.61233683717,0.0,0.0,2,1,4,1,3,8,Typ,1,3,Attchd,1977.0,3,2.0,505.0,3,3,2,5.66642668811,4.77068462447,0,0,0,0,0,0,NA,0,3,2008,WD,Normal,0,4,7,3,0,0,0,1,1,1,1,1,1,1,1,1,0,12.1652558593
280,60,RL,4.4188406078,9.33149549353,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,6,1989,1989,Gable,CompShg,Plywood,Plywood,BrkFace,340.0,4,3,CBlock,4,3,3,6,421.0,1,0.0,386.0,807.0,GasA,4,1,SBrkr,7.06987412846,807,0,7.59236612852,0.0,0.0,2,1,3,1,4,7,Typ,1,3,Attchd,1989.0,3,2.0,575.0,3,3,2,0.0,4.44265125649,0,196,0,0,0,0,NA,0,1,2007,WD,Normal,0,2,8,3,0,1,0,1,1,1,0,1,1,1,1,1,0,12.3392958657
281,20,FV,4.11087386417,8.88197518425,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,6,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,68.0,4,3,PConc,4,3,1,6,905.0,1,0.0,357.0,1262.0,GasA,4,1,SBrkr,7.14124512235,0,0,7.14124512235,0.0,0.0,2,0,2,1,4,5,Typ,0,0,Attchd,2006.0,3,2.0,572.0,3,3,2,0.0,4.7957905456,0,0,0,0,0,0,NA,0,5,2006,New,Partial,0,0,9,3,0,0,0,1,1,1,0,1,0,1,1,1,0,12.1281165095
282,120,RL,3.55534806149,8.52991196382,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,1Story,7,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,166.0,4,3,PConc,4,3,1,6,904.0,1,0.0,410.0,1314.0,GasA,5,1,SBrkr,7.18159194461,0,0,7.18159194461,1.0,0.0,2,0,2,1,4,6,Typ,1,4,Attchd,2008.0,2,2.0,626.0,3,3,2,5.1532915945,4.14313472639,0,0,0,0,0,0,NA,0,4,2009,ConLw,Normal,1,7,9,4,0,0,0,1,1,1,1,1,0,1,1,1,0,12.2428914379
283,20,RL,4.31748811354,9.17087162807,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Feedr,Norm,1Fam,1Story,8,5,2008,2009,Gable,CompShg,VinylSd,VinylSd,Stone,72.0,4,3,PConc,4,3,1,1,0.0,1,0.0,1468.0,1468.0,GasA,5,1,SBrkr,7.29233717617,0,0,7.29233717617,0.0,0.0,2,0,3,1,4,6,Typ,1,4,Attchd,2008.0,3,3.0,898.0,3,3,2,5.35185813348,5.01727983681,0,0,0,0,0,0,NA,0,12,2009,New,Partial,0,7,9,4,0,0,0,1,1,1,1,1,0,0,1,1,0,12.4073835905
284,120,RL,3.93182563272,8.98882050178,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1992,1992,Gable,CompShg,Plywood,ImStucc,None,0.0,4,3,PConc,4,3,1,6,430.0,1,0.0,1145.0,1575.0,GasA,4,1,SBrkr,7.36264527042,0,0,7.36264527042,1.0,0.0,2,0,2,1,4,5,Typ,0,0,Attchd,1992.0,2,2.0,529.0,3,3,2,0.0,0.0,52,0,0,0,0,0,NA,0,7,2007,WD,Normal,0,2,8,3,0,0,1,1,0,0,0,1,0,1,1,1,0,12.0962633599
285,160,FV,3.58351893846,8.35514473946,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2006,2007,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,3,PConc,4,3,1,1,0.0,1,0.0,625.0,625.0,GasA,5,1,SBrkr,6.4393503711,625,0,7.13169851047,0.0,0.0,2,1,2,1,4,5,Typ,0,0,Detchd,2006.0,2,2.0,528.0,3,3,2,0.0,4.00733318523,0,0,0,0,0,0,NA,0,6,2007,New,Partial,0,2,9,3,0,0,0,1,0,1,0,1,1,0,1,1,0,12.0118869878
286,50,RL,4.35670882669,9.18881025343,Pave,NA,IR1,Bnk,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,6,7,1962,1981,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,3,600.0,1,0.0,312.0,912.0,GasA,3,1,SBrkr,6.99025650049,649,0,7.45876269238,0.0,0.0,1,1,3,1,4,7,Typ,1,4,Attchd,1962.0,2,2.0,440.0,3,3,2,0.0,0.0,0,0,128,0,0,4,NA,0,6,2006,WD,Normal,0,0,6,2,0,0,0,1,0,0,0,1,1,1,1,1,0,11.9766657705
287,20,RL,4.3040650932,9.00282407655,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,4,1971,1971,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,1,4,614.0,1,0.0,244.0,858.0,GasA,3,1,SBrkr,6.75576892198,0,0,6.75576892198,0.0,0.0,1,0,3,1,3,5,Typ,0,0,NA,1971.0,0,0.0,0.0,0,0,2,0.0,0.0,0,0,0,0,0,0,NA,0,6,2006,WD,Normal,0,0,7,2,0,0,0,0,0,0,0,1,0,1,1,0,0,11.385103457
288,20,RL,4.29045944115,9.19217640135,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,BrkFace,31.0,3,4,CBlock,3,3,1,4,450.0,1,0.0,432.0,882.0,GasA,3,1,SBrkr,6.80350525761,0,0,6.80350525761,0.0,0.0,1,0,3,1,3,5,Typ,0,0,Detchd,1970.0,1,1.0,280.0,3,3,2,0.0,0.0,0,0,0,0,0,3,NA,0,2,2010,WD,Normal,0,9,6,2,0,0,0,1,1,0,0,1,0,1,1,1,0,11.7117845204
289,70,RL,4.11087386417,9.07463518981,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,Norm,1Fam,2Story,6,7,1915,2003,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,1,1,0.0,1,0.0,698.0,698.0,GasA,5,1,FuseA,6.54965074223,698,0,7.24208235926,0.0,0.0,1,0,3,1,3,7,Typ,0,0,Detchd,2003.0,1,1.0,384.0,3,3,2,0.0,0.0,0,0,259,0,0,0,NA,0,7,2007,WD,Normal,0,2,3,3,0,0,0,1,0,0,0,1,1,0,1,1,0,11.9419508375
290,60,RL,4.7957905456,9.6557951283,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,1,0.0,1,0.0,1079.0,1079.0,GasA,5,1,SBrkr,6.98471632012,840,0,7.56008046502,0.0,0.0,2,1,3,1,4,8,Typ,1,4,Attchd,2006.0,2,2.0,685.0,4,3,2,0.0,3.95124371858,0,0,0,0,0,0,NA,0,7,2006,New,Partial,0,0,9,3,0,0,0,1,0,1,0,1,1,0,1,1,0,12.3597846577
291,190,RL,4.02535169074,8.64611397148,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,2fmCon,2Story,5,6,1912,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,3,2,1,3,210.0,1,0.0,570.0,780.0,GasA,5,0,SBrkr,6.84268328224,780,0,7.4483338609,1.0,0.0,2,0,6,1,2,9,Typ,0,0,NA,1912.0,0,0.0,0.0,0,0,0,0.0,5.22035582508,0,0,0,0,0,0,NA,0,3,2008,WD,Normal,0,4,2,1,0,0,0,0,0,1,0,1,1,1,1,0,0,11.8196819585
292,50,RL,4.11087386417,9.34224544286,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,4,1949,2008,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,2,292.0,1,0.0,476.0,768.0,GasA,4,1,SBrkr,7.04664727785,568,0,7.4483338609,0.0,0.0,1,1,3,1,3,8,Min2,1,4,Attchd,1949.0,1,1.0,281.0,3,3,2,0.0,0.0,0,0,160,0,0,0,NA,0,1,2009,WD,Normal,0,7,5,2,0,0,0,1,0,0,0,1,1,1,1,1,0,11.7829602357
293,60,RL,4.39444915467,9.72076591572,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosA,Norm,1Fam,2Story,7,7,1977,1994,Gable,CompShg,Plywood,Plywood,BrkFace,34.0,3,3,CBlock,3,3,1,5,795.0,1,0.0,0.0,795.0,GasA,2,1,SBrkr,7.29233717617,795,0,7.72488843932,1.0,0.0,2,1,3,1,4,9,Typ,1,3,Attchd,1977.0,3,2.0,539.0,3,3,2,0.0,5.52545293913,0,0,0,0,0,0,NA,0,3,2006,WD,Normal,0,0,7,3,0,0,0,1,1,1,0,0,1,1,1,1,0,12.3673450484
